114,시크릿데이,시크릿데이 바이미 코튼 오버나이트 팬티 대형,https://post-phinf.pstatic.net/MjAyMTAzMDRfMTU2/MDAxNjE0ODI5MjI5NzE0.PoOK7qiWu_-w69u-n7-r9kcZ2yydomwJKjMF3LYrSoog.MIOs8Svx3fLZFXcLb8hxHeeSi4EZp79VADffyTPcZcwg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.631', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '0.51', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '0.631', ['']]","['노나날', 'Nonanal', '5.951', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '3.049', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '6.488', ['']]","['트리데칸', 'Tridecanen', '10.451', ['']]","['테트라데칸', 'Tetradecanen', '65.312', ['']]","['n-펜타데칸', 'n-Pentadecane', '21.534', ['']]","['n-헥사데칸', 'n-Hexadecane', '77.377', ['']]","['에탄올', 'ethanol', '6.348', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '15.229', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['헵탄', 'Heptane', '172.54', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,
115,시크릿데이,시크릿데이 바이미 코튼 오버나이트 팬티 중형,https://post-phinf.pstatic.net/MjAyMTAzMDRfNTUg/MDAxNjE0ODI4NDgzMjk3.mqRMkT8ayt1N1sGsUDTNQ2Nw62OJxH8UzfAAbanlN3Ug.xWLnjFwETJ_5NTHnBQmGsqp0Cz3KyCwud0N5i2-Wm_8g.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.871', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '1.245', ['']]","['노나날', 'Nonanal', '5.354', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '7.478', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['(1S)-(-)-알파-피넨', '(1S)-(-)-alpha-Pinene', '0.747', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '11.205', ['']]","['트리데칸', 'Tridecanen', '13.072', ['']]","['테트라데칸', 'Tetradecanen', '68.603', ['']]","['n-펜타데칸', 'n-Pentadecane', '20.043', ['']]","['n-헥사데칸', 'n-Hexadecane', '89.023', ['']]","['에탄올', 'ethanol', '2.543', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '3.766', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['헵탄', 'Heptane', '74.877', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,
116,메이앤준,메이앤준 입는 오버나이트,https://post-phinf.pstatic.net/MjAyMTAzMDRfMTg2/MDAxNjE0ODI3OTk1ODkw.ZIqqp31S7COnBEDW7MLVSEbDTgV9qGTJz5snI36KqZIg.kgPUIknWPE2t33aV8FlP87HdkgLYiLf-Wh_Fe8IYj-Eg.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '1.76', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '2.326', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '5.986', ['눈 자극', '어지럼증', '졸음']]","['노난', 'nonane', '0.946', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '2.171', ['']]","['운데칸', 'Undecane', '4.739', ['']]","['노나날', 'Nonanal', '26.761', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '34.101', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '31.168', ['']]","['트리데칸', 'Tridecanen', '18.845', ['']]","['테트라데칸', 'Tetradecanen', '48.489', ['']]","['n-펜타데칸', 'n-Pentadecane', '24.552', ['']]","['n-헥사데칸', 'n-Hexadecane', '42.631', ['']]","['에탄올', 'ethanol', '6.4', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,
117,포그니입는,포그니입는 오버나이트,https://post-phinf.pstatic.net/MjAyMTAzMDRfMjI2/MDAxNjE0ODI3NTU2MTU5.LTDA5Jg_YhPtBYctsYi6btg_GGJBI5AQFe7xWtB-UMsg.2hsmcY3MoM3r2ReTLFf-4tfvpjyg5eEhpG2AhEJH3bUg.PNG/image.png?type=w1200,"['에틸벤젠', 'ethylbenzene', '0.718', ['암 유발', '유전적 결함 발생 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['스타이렌', 'Styrene', '8.976', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['톨루엔', 'Toluene', '8.017', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '2.034', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '5.625', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['데칸', ' decane', '13.163', ['']]","['(R)-(+)-리모넨', '(R)-(+)-Limonene', '1.795', ['피부 자극', '알레르기 피부 반응', '수생 생물에 대한 장기적 피해']]","['운데칸', 'Undecane', '15.436', ['']]","['노나날', 'Nonanal', '32.896', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '30.364', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '64.62', ['']]","['트리데칸', 'Tridecanen', '42.598', ['']]","['테트라데칸', 'Tetradecanen', '89.511', ['']]","['n-펜타데칸', 'n-Pentadecane', '23.452', ['']]","['n-헥사데칸', 'n-Hexadecane', '69.88', ['']]","['아세톤', 'acetone', '23.78', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,
118,yoni,yoni chemical free protection (heavy),https://post-phinf.pstatic.net/MjAyMTAzMDRfMTQ3/MDAxNjE0ODI3MTM5ODMw.tm0IZ2ojNyHXXbvV_wCvDmtuEQpQJgzAWqNuT7leur8g.QRkO0FuRp8qGBEFFXMVWaCMbwW-QIjJb_FxTu1z4fG4g.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.399', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['헥세인', 'Hexane', '0.128', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.32', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.159', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.08', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '2.205', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.528', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.144', ['']]","['트리데칸', 'Tridecanen', '0.367', ['']]","['테트라데칸', 'Tetradecanen', '0.672', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.575', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.927', ['']]","['에탄올', 'ethanol', '1.191', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '1.191', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-프로판올', '1-propanol', '0.298', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,,
119,yoni,yoni chemical free protection (medium),https://post-phinf.pstatic.net/MjAyMTAzMDRfMTI3/MDAxNjE0ODI2NTQ4ODQ5.0SHfKJ8zt4lNlUKpspHeW40eL_BJqlqlaZQCG7LvcKEg.0j5rg7OmAMAnFBwaJENr2q-Z_66obywOeVbAqlhMAvsg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.149', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['헥세인', 'Hexane', '0.092', ['피부 자극', '어지럼증', '졸음', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.286', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.08', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.092', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '1.174', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.522', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '0.138', ['']]","['테트라데칸', 'Tetradecanen', '0.446', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.551', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.929', ['']]","['에탄올', 'ethanol', '1.541', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '1.21', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-프로판올', '1-propanol', '0.44', ['눈 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,,,
120,yoni,yoni chemical free protection (light),https://post-phinf.pstatic.net/MjAyMTAzMDRfNTYg/MDAxNjE0ODI2MjY1ODAz.gtVeqZ29dQYjPOpUquBOTrv7Rj2zrNDVke65vOqzIwwg.YKTGre1K-SUFs3Q5bq1O4HFT70881-IwJ21QIR72F7Ig.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.539', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-부타논', '2-Butanone', '0.175', ['눈 자극', '어지럼증', '졸음']]","['노나날', 'Nonanal', '0.903', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.352', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.049', ['']]","['트리데칸', 'Tridecanen', '0.058', ['']]","['테트라데칸', 'Tetradecanen', '0.223', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.421', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.505', ['']]","['에탄올', 'ethanol', '2.351', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.428', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,,,
121,tempax,tempax pearl super tampons,https://post-phinf.pstatic.net/MjAyMTAzMDRfOTIg/MDAxNjE0ODI1ODM2NDgy.xq8lnI2tsODQUIgKoY6ek43vsDU9podeOqzwTG8WrGAg.EdCnj9yhp5XfUN4MZ5q0UZuujF16pxq_VT1wDBrY45Mg.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '0.38', ['눈 자극', '어지럼증', '졸음']]","['2-부타논', '2-Butanone', '0.238', ['눈 자극', '어지럼증', '졸음']]","['데칸', ' decane', '1.488', ['']]","['운데칸', 'Undecane', '0.702', ['']]","['노나날', 'Nonanal', '0.499', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '2.29', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.857', ['']]","['트리데칸', 'Tridecanen', '0.988', ['']]","['테트라데칸', 'Tetradecanen', '1.596', ['']]","['n-펜타데칸', 'n-Pentadecane', '1.119', ['']]","['n-헥사데칸', 'n-Hexadecane', '4.764', ['']]","['에탄올', 'ethanol', '3.047', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '1.168', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,
122,tempax,tempax pearl super plus tampons,https://post-phinf.pstatic.net/MjAyMTAzMDRfMTQz/MDAxNjE0ODI1NDYxODg5.zgWyATjLgF3IaIqdzI5oeRSU8rp0gAZ_OPj3kmWrCMsg.6pHoLTPzs-leGmAqt9H2ofViZ8aFe-4FDpSLiWzIpCAg.PNG/image.png?type=w1200,"['2-부타논', '2-Butanone', '0.702', ['눈 자극', '어지럼증', '졸음']]","['데칸', ' decane', '3.166', ['']]","['운데칸', 'Undecane', '0.684', ['']]","['노나날', 'Nonanal', '0.582', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '5.408', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.928', ['']]","['트리데칸', 'Tridecanen', '0.908', ['']]","['테트라데칸', 'Tetradecanen', '1.985', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.905', ['']]","['n-헥사데칸', 'n-Hexadecane', '7.084', ['']]","['에탄올', 'ethanol', '6.906', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '1.315', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['1-부탄올', '1-butanol', '0.492', ['피부 자극', '눈 자극', '호흡기 자극', '어지럼증', '졸음']]",,,,,,,,,,,,,,,,,,,,,,
123,코텍스,코텍스 화이트 탐폰 슈퍼,https://post-phinf.pstatic.net/MjAyMTAzMDRfMjE4/MDAxNjE0ODI1MDIyNjI2.gWnI1C-rMxTTa0v7bFyqfjM-OKQcdYsqorRL9zOsRGkg.BWC2Zz1eTOBjyrQEDslcoPE0pMahrScy-TzgICX7ynYg.PNG/image.png?type=w1200,"['클로로포름', 'Chloroform', '0.046', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['2-프로판올', 'isopropyl alcohol', '2.054', ['눈 자극', '어지럼증', '졸음']]","['노나날', 'Nonanal', '0.759', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.126', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['나프탈렌', 'Naphthalene', '0.069', ['암 유발', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.115', ['']]","['트리데칸', 'Tridecanen', '0.127', ['']]","['테트라데칸', 'Tetradecanen', '0.414', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.357', ['']]","['n-헥사데칸', 'n-Hexadecane', '1.495', ['']]","['에탄올', 'ethanol', '1.13', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,
124,코텍스,코텍스 화이트 스타일 탐폰 슈퍼,https://post-phinf.pstatic.net/MjAyMTAzMDRfNTEg/MDAxNjE0ODI0NzI0OTQ0.gOTA1S2ZYy2DGzaSG7SmOL8kdRCVO-QEECevSkvzxB0g.aE6Lv_WOGOoTuyGLGcmXx808tCAiQdWztYNSJKq4oCog.PNG/image.png?type=w1200,"['스타이렌', 'Styrene', '0.113', ['피부 자극', '눈 자극', '호흡기 자극', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['클로로포름', 'Chloroform', '0.056', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['톨루엔', 'Toluene', '0.607', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '1.869', ['눈 자극', '어지럼증', '졸음']]","['노나날', 'Nonanal', '0.697', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.27', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '0.068', ['']]","['테트라데칸', 'Tetradecanen', '0.336', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.405', ['']]","['n-헥사데칸', 'n-Hexadecane', '1.685', ['']]",,,,,,,,,,,,,,,,,,,,,,,,,
125,좋은느낌,좋은느낌 탐폰 슈퍼,https://post-phinf.pstatic.net/MjAyMTAzMDRfMjM3/MDAxNjE0ODI0MzkxMzM3.IWLEmphP7aHiuUQGjNhUcozrBA1ojo1z2Tg97lfpHpwg.vKHA1Qwg7NS8bY7O6n2_hwlCkXirZJp0jrD4u3nRkegg.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '3.083', ['눈 자극', '어지럼증', '졸음']]","['노나날', 'Nonanal', '1.703', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.681', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '0.109', ['']]","['테트라데칸', 'Tetradecanen', '0.327', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.436', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.762', ['']]","['에탄올', 'ethanol', '0.67', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,,,,
126,좋은느낌,좋은느낌 유 탐폰 레귤러,https://post-phinf.pstatic.net/MjAyMTAzMDRfNjYg/MDAxNjE0ODI0MTI4MjU5.klHRXcfoN1wVqa8p7dmwqHWpPkazD16-AlPu_7XokGcg.F7NUg5i08SmC0hE-0psc4sf9DFLYPflIXa5ZdV5QkRgg.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '0.56', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.053', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '1.419', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.615', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.042', ['']]","['트리데칸', 'Tridecanen', '0.105', ['']]","['테트라데칸', 'Tetradecanen', '0.222', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.318', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.699', ['']]",,,,,,,,,,,,,,,,,,,,,,,,,,
127,바디와이즈,바디와이즈 나트라케어 순면 탐폰 (어플리케이터-수퍼),https://post-phinf.pstatic.net/MjAyMTAzMDRfMTMy/MDAxNjE0ODIzODA2OTA2.eiSG1x3-RuHzW2XmPxwnCXNEfeY9n1wQgXFr1cP2lw8g.YLPKUZ-JkOcWzCGlC3fz1mJC2tO0o_YkaDMEdjzD4X4g.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '1.566', ['눈 자극', '어지럼증', '졸음']]","['2-부타논', '2-Butanone', '0.015', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.015', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '2.292', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.754', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '0.074', ['']]","['테트라데칸', 'Tetradecanen', '0.207', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.814', ['']]","['n-헥사데칸', 'n-Hexadecane', '3.519', ['']]",,,,,,,,,,,,,,,,,,,,,,,,,,
128,바디와이즈,바디와이즈 나트라케어 순면 탐폰 (어플리케이터-레귤러),https://post-phinf.pstatic.net/MjAyMTAzMDRfMTI2/MDAxNjE0ODIzNTQwNjU2.LaqDKxO9_xcRB2YrxtoDn71_8tf3fcoHYdHXr2YzNlMg.uTDKiSGGY8dOhP6LYdp42QorObJIl2ViSc5KE9y09fAg.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '1.235', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.065', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.054', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '2.08', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.705', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['테트라데칸', 'Tetradecanen', '0.195', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.693', ['']]","['n-헥사데칸', 'n-Hexadecane', '5.264', ['']]","['에탄올', 'ethanol', '0.45', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,,,
129,바디와이즈,바디와이즈 나트라케어 순면 탐폰 (디지털-레귤러),https://post-phinf.pstatic.net/MjAyMTAzMDRfMTg5/MDAxNjE0ODIzMjcwNzIz.NyuoyzSvbnj2Y35q2NkrPjc5ubaN6E0i0tEfvHOokIog.FloxoLmvA4tnswBUsaFmyANhnNWVbcrZGOKPFs0n2asg.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '2.701', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.071', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.045', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '1.763', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.781', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['테트라데칸', 'Tetradecanen', '0.106', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.321', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.479', ['']]","['에탄올', 'ethanol', '1.07', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]","['아세톤', 'acetone', '0.53', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]",,,,,,,,,,,,,,,,,,,,,,,,,
130,바디와이즈,바디와이즈 나트라케어 순면 탐폰 (디지털-수퍼),https://post-phinf.pstatic.net/MjAyMTAzMDRfMjky/MDAxNjE0ODIyOTA2MDY1.d1RxXqkbHD9joQG110aqcvMuEHBf3rqRlt348nRXG54g.cZmZy7mWqHVHEXPItP0Qq81t4kUdXax5N1vLz8hMCQIg.PNG/image.png?type=w1200,"['2-프로판올', 'isopropyl alcohol', '2.292', ['눈 자극', '어지럼증', '졸음']]","['옥탄', 'octane', '0.073', ['피부 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노난', 'nonane', '0.073', ['피부 자극', '호흡기 자극', '어지럼증', '졸음', '수생 생물에 대한 장기적 피해']]","['노나날', 'Nonanal', '2.138', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.843', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['트리데칸', 'Tridecanen', '0.049', ['']]","['테트라데칸', 'Tetradecanen', '0.233', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.427', ['']]","['n-헥사데칸', 'n-Hexadecane', '0.598', ['']]","['에탄올', 'ethanol', '0.95', ['피부 자극', '눈 자극', '암 유발', '장기간 또는 반복적으로 노출 시 장기 손상 가능성']]",,,,,,,,,,,,,,,,,,,,,,,,,
131,템포,템포 슈퍼,https://post-phinf.pstatic.net/MjAyMTAzMDRfMjU1/MDAxNjE0ODIyNTQ4MDI2.dDBClMw4ikWzIMoJGroFTqEYyKtRTjC48Z-XBFugQNwg.Qg_WOMQgt5wkv-ZZfV_erXGc8M_366ysPlUNtbEJqXQg.PNG/image.png?type=w1200,"['톨루엔', 'Toluene', '0.727', ['피부 자극', '눈 자극', '어지럼증', '졸음', '암 유발', '유전적 결함 발생 가능성', '임신 혹은 태아에 대한 피해 가능성', '장기간 또는 반복적으로 노출 시 장기 손상 가능성', '수생 생물에 대한 장기적 피해']]","['(p-, m-, o-)자일렌', 'xylene', '0.084', ['피부 자극', '눈 자극', '호흡기 자극', '수생 생물에 대한 장기적 피해']]","['2-프로판올', 'isopropyl alcohol', '0.558', ['눈 자극', '어지럼증', '졸음']]","['노나날', 'Nonanal', '0.759', ['수생 생물에 대한 장기적 피해']]","['데카날', 'Decanal', '0.495', ['눈 자극', '수생 생물에 대한 장기적 피해']]","['도데칸', 'Dodecane', '0.485', ['']]","['트리데칸', 'Tridecanen', '0.137', ['']]","['테트라데칸', 'Tetradecanen', '2.929', ['']]","['n-펜타데칸', 'n-Pentadecane', '0.58', ['']]","['n-헥사데칸', 'n-Hexadecane', '10.579', ['']]",,,,,,,,,,,,,,,,,,,,,,,,,
